stamp,elapsed,x,y,z,frame_id
1786508883.502653,0.000000,-0.008000,-0.044200,-1.558200,ndi
1786508883.520134,0.017480,-0.007990,-0.044200,-1.558180,ndi
1786508883.535201,0.032548,-0.007990,-0.044200,-1.558210,ndi
1786508883.552648,0.049995,-0.008000,-0.044200,-1.558200,ndi
1786508883.570161,0.067508,-0.008000,-0.044200,-1.558190,ndi
1786508883.585159,0.082506,-0.007980,-0.044210,-1.558200,ndi
1786508883.602658,0.100005,-0.008010,-0.044200,-1.558200,ndi
1786508883.620183,0.117530,-0.008010,-0.044190,-1.558200,ndi
1786508883.635121,0.132467,-0.007990,-0.044210,-1.558230,ndi
1786508883.652636,0.149982,-0.008000,-0.044220,-1.558190,ndi
1786508883.670139,0.167485,-0.008010,-0.044200,-1.558210,ndi
1786508883.685167,0.182514,-0.007980,-0.044190,-1.558220,ndi
1786508883.702620,0.199966,-0.007990,-0.044210,-1.558210,ndi
1786508883.720123,0.217469,-0.007990,-0.044220,-1.558200,ndi
1786508883.735167,0.232514,-0.007990,-0.044200,-1.558220,ndi
1786508883.752634,0.249981,-0.008000,-0.044200,-1.558230,ndi
1786508883.770141,0.267488,-0.007990,-0.044220,-1.558210,ndi
1786508883.785148,0.282495,-0.008000,-0.044210,-1.558200,ndi
1786508883.802613,0.299959,-0.008000,-0.044190,-1.558210,ndi
1786508883.820117,0.317464,-0.007980,-0.044200,-1.558220,ndi
1786508883.835174,0.332521,-0.008010,-0.044220,-1.558200,ndi
1786508883.852651,0.349998,-0.007990,-0.044210,-1.558230,ndi
1786508883.870149,0.367496,-0.008000,-0.044190,-1.558220,ndi
1786508883.885165,0.382511,-0.007990,-0.044200,-1.558210,ndi
1786508883.902642,0.399989,-0.008000,-0.044220,-1.558210,ndi
1786508883.920151,0.417497,-0.008000,-0.044200,-1.558230,ndi
1786508883.935152,0.432499,-0.008000,-0.044190,-1.558220,ndi
1786508883.952640,0.449987,-0.007990,-0.044210,-1.558200,ndi
1786508883.970133,0.467479,-0.007980,-0.044220,-1.558230,ndi
1786508883.985159,0.482506,-0.008000,-0.044190,-1.558240,ndi
1786508884.002635,0.499982,-0.008000,-0.044190,-1.558240,ndi
1786508884.020127,0.517474,-0.007980,-0.044220,-1.558220,ndi
1786508884.035158,0.532504,-0.008000,-0.044220,-1.558230,ndi
1786508884.052657,0.550004,-0.007990,-0.044190,-1.558230,ndi
1786508884.070111,0.567458,-0.008000,-0.044200,-1.558220,ndi
1786508884.085163,0.582510,-0.008000,-0.044220,-1.558220,ndi
1786508884.102632,0.599978,-0.007980,-0.044210,-1.558250,ndi
1786508884.120145,0.617492,-0.008000,-0.044180,-1.558220,ndi
1786508884.135148,0.632494,-0.008000,-0.044200,-1.558240,ndi
1786508884.152659,0.650005,-0.008000,-0.044220,-1.558210,ndi
1786508884.170117,0.667464,-0.007990,-0.044200,-1.558220,ndi
1786508884.185148,0.682495,-0.007990,-0.044190,-1.558220,ndi
1786508884.202647,0.699993,-0.008010,-0.044210,-1.558220,ndi
1786508884.220154,0.717501,-0.007990,-0.044220,-1.558230,ndi
1786508884.235179,0.732526,-0.008000,-0.044200,-1.558180,ndi
1786508884.252658,0.750004,-0.008000,-0.044190,-1.558220,ndi
1786508884.270149,0.767495,-0.007990,-0.044210,-1.558220,ndi
1786508884.285168,0.782515,-0.008000,-0.044210,-1.558210,ndi
1786508884.302658,0.800004,-0.007990,-0.044200,-1.558220,ndi
1786508884.320160,0.817507,-0.007990,-0.044200,-1.558220,ndi
1786508884.335169,0.832515,-0.007990,-0.044210,-1.558220,ndi
1786508884.352653,0.849999,-0.007990,-0.044210,-1.558220,ndi
1786508884.370172,0.867518,-0.007990,-0.044200,-1.558210,ndi
1786508884.385123,0.882469,-0.008000,-0.044200,-1.558180,ndi
1786508884.402699,0.900046,-0.007990,-0.044200,-1.558200,ndi
1786508884.420166,0.917512,-0.007990,-0.044210,-1.558200,ndi
1786508884.435176,0.932522,-0.008000,-0.044210,-1.558210,ndi
1786508884.452677,0.950023,-0.007990,-0.044200,-1.558210,ndi
1786508884.470171,0.967518,-0.007990,-0.044200,-1.558210,ndi
1786508884.485180,0.982527,-0.007990,-0.044210,-1.558190,ndi
1786508884.502641,0.999988,-0.007990,-0.044200,-1.558190,ndi
1786508884.520162,1.017509,-0.008000,-0.044200,-1.558220,ndi
1786508884.535174,1.032521,-0.008000,-0.044210,-1.558200,ndi
1786508884.552643,1.049990,-0.007990,-0.044210,-1.558210,ndi
1786508884.570143,1.067490,-0.007990,-0.044200,-1.558220,ndi
1786508884.585148,1.082494,-0.008000,-0.044200,-1.558190,ndi
1786508884.602678,1.100025,-0.007990,-0.044210,-1.558220,ndi
1786508884.620147,1.117493,-0.008000,-0.044200,-1.558180,ndi
1786508884.635187,1.132534,-0.007990,-0.044200,-1.558200,ndi
1786508884.652656,1.150002,-0.008000,-0.044200,-1.558200,ndi
1786508884.670163,1.167510,-0.007990,-0.044210,-1.558210,ndi
1786508884.685141,1.182488,-0.007990,-0.044210,-1.558220,ndi
1786508884.702823,1.200169,-0.008000,-0.044200,-1.558210,ndi
1786508884.720197,1.217544,-0.008000,-0.044210,-1.558230,ndi
1786508884.735212,1.232558,-0.007990,-0.044210,-1.558200,ndi
1786508884.752646,1.249993,-0.008000,-0.044200,-1.558200,ndi
1786508884.770149,1.267495,-0.007980,-0.044200,-1.558220,ndi
1786508884.785152,1.282499,-0.008000,-0.044210,-1.558210,ndi
1786508884.802650,1.299997,-0.008010,-0.044210,-1.558220,ndi
1786508884.820158,1.317505,-0.007990,-0.044210,-1.558230,ndi
1786508884.835179,1.332526,-0.008000,-0.044210,-1.558200,ndi
1786508884.852665,1.350012,-0.008000,-0.044220,-1.558190,ndi
1786508884.870177,1.367523,-0.007990,-0.044210,-1.558200,ndi
1786508884.885203,1.382550,-0.008000,-0.044210,-1.558200,ndi
1786508884.902775,1.400122,-0.008000,-0.044210,-1.558180,ndi
1786508884.920167,1.417513,-0.008000,-0.044220,-1.558180,ndi
1786508884.935197,1.432544,-0.008000,-0.044210,-1.558190,ndi
1786508884.952647,1.449993,-0.008000,-0.044200,-1.558220,ndi
1786508884.970114,1.467461,-0.008010,-0.044220,-1.558220,ndi
1786508884.985157,1.482503,-0.008010,-0.044220,-1.558220,ndi
1786508885.002650,1.499996,-0.008010,-0.044200,-1.558210,ndi
1786508885.020183,1.517529,-0.008000,-0.044210,-1.558200,ndi
1786508885.035182,1.532529,-0.008000,-0.044220,-1.558200,ndi
1786508885.052689,1.550035,-0.008010,-0.044210,-1.558200,ndi
1786508885.070219,1.567566,-0.008000,-0.044210,-1.558190,ndi
1786508885.085225,1.582571,-0.008000,-0.044210,-1.558210,ndi
1786508885.102711,1.600058,-0.007990,-0.044210,-1.558190,ndi
1786508885.120223,1.617570,-0.008010,-0.044210,-1.558190,ndi
1786508885.135227,1.632573,-0.008000,-0.044210,-1.558170,ndi
1786508885.152714,1.650061,-0.008000,-0.044210,-1.558200,ndi
1786508885.170226,1.667573,-0.008000,-0.044220,-1.558190,ndi
1786508885.185283,1.682629,-0.007990,-0.044220,-1.558200,ndi
1786508885.202726,1.700073,-0.008010,-0.044210,-1.558210,ndi
1786508885.220201,1.717547,-0.008000,-0.044210,-1.558210,ndi
1786508885.235222,1.732569,-0.008000,-0.044210,-1.558180,ndi
1786508885.252695,1.750041,-0.008000,-0.044210,-1.558180,ndi
1786508885.270174,1.767520,-0.007990,-0.044210,-1.558180,ndi
1786508885.285211,1.782557,-0.008010,-0.044210,-1.558210,ndi
1786508885.302700,1.800047,-0.008000,-0.044210,-1.558200,ndi
1786508885.320219,1.817565,-0.008000,-0.044210,-1.558210,ndi
1786508885.335184,1.832530,-0.008000,-0.044210,-1.558200,ndi
1786508885.352676,1.850023,-0.008000,-0.044210,-1.558190,ndi
1786508885.370158,1.867505,-0.008010,-0.044220,-1.558200,ndi
1786508885.385165,1.882512,-0.007990,-0.044210,-1.558200,ndi
1786508885.402736,1.900083,-0.008010,-0.044210,-1.558200,ndi
1786508885.420229,1.917576,-0.008000,-0.044210,-1.558180,ndi
1786508885.435219,1.932566,-0.008000,-0.044210,-1.558190,ndi
1786508885.452692,1.950038,-0.008000,-0.044200,-1.558210,ndi
1786508885.470189,1.967536,-0.007990,-0.044200,-1.558200,ndi
1786508885.485194,1.982541,-0.008000,-0.044210,-1.558200,ndi
1786508885.502735,2.000082,-0.007990,-0.044200,-1.558210,ndi
1786508885.520190,2.017537,-0.008000,-0.044200,-1.558210,ndi
1786508885.535213,2.032560,-0.008000,-0.044210,-1.558230,ndi
1786508885.552666,2.050013,-0.008000,-0.044210,-1.558220,ndi
1786508885.570174,2.067520,-0.008010,-0.044200,-1.558220,ndi
1786508885.585150,2.082497,-0.007990,-0.044200,-1.558220,ndi
1786508885.602706,2.100053,-0.008000,-0.044210,-1.558210,ndi
1786508885.620204,2.117551,-0.007990,-0.044210,-1.558210,ndi
1786508885.635207,2.132553,-0.007990,-0.044200,-1.558200,ndi
1786508885.652698,2.150045,-0.008000,-0.044200,-1.558200,ndi
1786508885.670154,2.167500,-0.008000,-0.044220,-1.558210,ndi
1786508885.685198,2.182544,-0.008000,-0.044210,-1.558200,ndi
1786508885.702705,2.200052,-0.007990,-0.044190,-1.558200,ndi
1786508885.720227,2.217574,-0.007990,-0.044210,-1.558220,ndi
1786508885.735214,2.232561,-0.008000,-0.044220,-1.558210,ndi
1786508885.754653,2.252000,-0.008000,-0.044200,-1.558190,ndi
1786508885.770132,2.267479,-0.007990,-0.044190,-1.558230,ndi
1786508885.785176,2.282523,-0.007990,-0.044210,-1.558210,ndi
1786508885.802663,2.300009,-0.007990,-0.044220,-1.558200,ndi
1786508885.820184,2.317530,-0.008000,-0.044190,-1.558250,ndi
1786508885.835199,2.332546,-0.007990,-0.044190,-1.558220,ndi
1786508885.852648,2.349995,-0.007980,-0.044210,-1.558240,ndi
1786508885.870163,2.367510,-0.008000,-0.044210,-1.558230,ndi
1786508885.885177,2.382524,-0.007990,-0.044190,-1.558190,ndi
1786508885.902663,2.400010,-0.007990,-0.044200,-1.558230,ndi
1786508885.920177,2.417524,-0.007990,-0.044210,-1.558220,ndi
1786508885.935192,2.432538,-0.007990,-0.044200,-1.558230,ndi
1786508885.952669,2.450016,-0.007990,-0.044190,-1.558230,ndi
1786508885.970155,2.467502,-0.007990,-0.044210,-1.558230,ndi
1786508885.985192,2.482538,-0.007990,-0.044210,-1.558220,ndi
1786508886.002704,2.500051,-0.007990,-0.044190,-1.558220,ndi
1786508886.020172,2.517519,-0.008000,-0.044200,-1.558230,ndi
1786508886.035210,2.532557,-0.007980,-0.044210,-1.558210,ndi
1786508886.052687,2.550034,-0.007990,-0.044210,-1.558220,ndi
1786508886.070189,2.567535,-0.008000,-0.044180,-1.558230,ndi
1786508886.085181,2.582528,-0.007980,-0.044200,-1.558240,ndi
1786508886.102685,2.600031,-0.008000,-0.044220,-1.558240,ndi
1786508886.120206,2.617553,-0.007990,-0.044200,-1.558240,ndi
1786508886.135195,2.632541,-0.007990,-0.044180,-1.558230,ndi
1786508886.152676,2.650023,-0.008000,-0.044200,-1.558210,ndi
1786508886.170159,2.667506,-0.008000,-0.044220,-1.558220,ndi
1786508886.185195,2.682542,-0.007990,-0.044200,-1.558230,ndi
1786508886.202684,2.700031,-0.008000,-0.044180,-1.558200,ndi
1786508886.220171,2.717518,-0.008000,-0.044210,-1.558230,ndi
1786508886.235187,2.732534,-0.007990,-0.044220,-1.558230,ndi
1786508886.252681,2.750028,-0.008010,-0.044190,-1.558220,ndi
