stamp,elapsed,x,y,z,frame_id
1786503059.770796,0.000000,-0.005380,-0.146310,-1.457720,ndi
1786503059.785763,0.014967,-0.005370,-0.146330,-1.457720,ndi
1786503059.803217,0.032421,-0.005380,-0.146330,-1.457720,ndi
1786503059.818283,0.047487,-0.005380,-0.146320,-1.457740,ndi
1786503059.835720,0.064924,-0.005380,-0.146310,-1.457730,ndi
1786503059.853220,0.082424,-0.005370,-0.146330,-1.457740,ndi
1786503059.870764,0.099968,-0.005370,-0.146330,-1.457750,ndi
1786503059.885736,0.114940,-0.005380,-0.146310,-1.457730,ndi
1786503059.903343,0.132547,-0.005390,-0.146320,-1.457740,ndi
1786503059.918397,0.147601,-0.005370,-0.146330,-1.457740,ndi
1786503059.935935,0.165139,-0.005380,-0.146320,-1.457750,ndi
1786503059.953393,0.182597,-0.005380,-0.146310,-1.457750,ndi
1786503059.970775,0.199979,-0.005380,-0.146320,-1.457760,ndi
1786503059.985706,0.214910,-0.005380,-0.146340,-1.457720,ndi
1786503060.003217,0.232421,-0.005370,-0.146320,-1.457750,ndi
1786503060.020941,0.250145,-0.005380,-0.146310,-1.457760,ndi
1786503060.035839,0.265043,-0.005380,-0.146320,-1.457750,ndi
1786503060.053354,0.282557,-0.005360,-0.146340,-1.457760,ndi
1786503060.070755,0.299959,-0.005390,-0.146320,-1.457760,ndi
1786503060.085733,0.314937,-0.005370,-0.146310,-1.457750,ndi
1786503060.103429,0.332633,-0.005380,-0.146330,-1.457770,ndi
1786503060.120957,0.350161,-0.005380,-0.146340,-1.457760,ndi
1786503060.135896,0.365100,-0.005380,-0.146320,-1.457780,ndi
1786503060.153420,0.382624,-0.005380,-0.146310,-1.457770,ndi
1786503060.170765,0.399969,-0.005370,-0.146330,-1.457760,ndi
1786503060.185709,0.414913,-0.005380,-0.146330,-1.457770,ndi
1786503060.203319,0.432523,-0.005380,-0.146320,-1.457750,ndi
1786503060.220806,0.450010,-0.005380,-0.146310,-1.457760,ndi
1786503060.235709,0.464913,-0.005380,-0.146330,-1.457780,ndi
1786503060.253274,0.482478,-0.005380,-0.146330,-1.457750,ndi
1786503060.268385,0.497589,-0.005380,-0.146320,-1.457780,ndi
1786503060.285709,0.514913,-0.005380,-0.146320,-1.457770,ndi
1786503060.303298,0.532502,-0.005380,-0.146330,-1.457770,ndi
1786503060.318481,0.547685,-0.005380,-0.146330,-1.457790,ndi
1786503060.335795,0.564999,-0.005380,-0.146320,-1.457760,ndi
1786503060.353254,0.582458,-0.005380,-0.146310,-1.457760,ndi
1786503060.370797,0.600001,-0.005380,-0.146330,-1.457740,ndi
1786503060.385765,0.614969,-0.005380,-0.146330,-1.457750,ndi
1786503060.403291,0.632494,-0.005380,-0.146320,-1.457740,ndi
1786503060.420732,0.649936,-0.005380,-0.146320,-1.457740,ndi
1786503060.435669,0.664873,-0.005380,-0.146330,-1.457750,ndi
1786503060.453275,0.682479,-0.005380,-0.146330,-1.457740,ndi
1786503060.468344,0.697548,-0.005370,-0.146320,-1.457750,ndi
1786503060.485735,0.714939,-0.005380,-0.146320,-1.457730,ndi
1786503060.503276,0.732480,-0.005380,-0.146330,-1.457750,ndi
1786503060.520740,0.749943,-0.005380,-0.146330,-1.457740,ndi
1786503060.535773,0.764977,-0.005380,-0.146320,-1.457730,ndi
1786503060.553339,0.782543,-0.005380,-0.146320,-1.457760,ndi
1786503060.570792,0.799996,-0.005380,-0.146330,-1.457730,ndi
1786503060.585779,0.814983,-0.005380,-0.146330,-1.457740,ndi
1786503060.603262,0.832466,-0.005380,-0.146320,-1.457740,ndi
1786503060.620693,0.849897,-0.005370,-0.146320,-1.457740,ndi
1786503060.635791,0.864995,-0.005360,-0.146340,-1.457740,ndi
1786503060.653273,0.882477,-0.005380,-0.146330,-1.457740,ndi
1786503060.668357,0.897561,-0.005380,-0.146320,-1.457740,ndi
1786503060.685753,0.914957,-0.005370,-0.146320,-1.457740,ndi
1786503060.703357,0.932560,-0.005380,-0.146330,-1.457730,ndi
1786503060.720790,0.949994,-0.005370,-0.146320,-1.457730,ndi
1786503060.735770,0.964974,-0.005380,-0.146310,-1.457740,ndi
1786503060.753379,0.982583,-0.005380,-0.146320,-1.457750,ndi
1786503060.770756,0.999960,-0.005370,-0.146340,-1.457740,ndi
1786503060.785738,1.014941,-0.005370,-0.146330,-1.457750,ndi
1786503060.803274,1.032478,-0.005370,-0.146310,-1.457730,ndi
1786503060.820852,1.050056,-0.005380,-0.146330,-1.457720,ndi
1786503060.835924,1.065128,-0.005380,-0.146330,-1.457730,ndi
1786503060.853388,1.082592,-0.005370,-0.146320,-1.457750,ndi
1786503060.868375,1.097579,-0.005380,-0.146310,-1.457730,ndi
1786503060.885755,1.114959,-0.005380,-0.146330,-1.457750,ndi
1786503060.903493,1.132697,-0.005380,-0.146340,-1.457730,ndi
1786503060.920959,1.150163,-0.005380,-0.146310,-1.457730,ndi
1786503060.935939,1.165143,-0.005380,-0.146310,-1.457730,ndi
1786503060.953387,1.182591,-0.005380,-0.146340,-1.457730,ndi
1786503060.968249,1.197453,-0.005380,-0.146340,-1.457730,ndi
1786503060.985776,1.214980,-0.005380,-0.146310,-1.457730,ndi
1786503061.003336,1.232540,-0.005380,-0.146320,-1.457730,ndi
1786503061.020767,1.249971,-0.005380,-0.146340,-1.457720,ndi
1786503061.035799,1.265003,-0.005380,-0.146340,-1.457730,ndi
1786503061.053483,1.282686,-0.005380,-0.146310,-1.457730,ndi
1786503061.068385,1.297589,-0.005380,-0.146310,-1.457730,ndi
1786503061.085747,1.314951,-0.005380,-0.146330,-1.457730,ndi
1786503061.103489,1.332693,-0.005380,-0.146330,-1.457720,ndi
1786503061.118478,1.347682,-0.005380,-0.146320,-1.457730,ndi
1786503061.135933,1.365137,-0.005380,-0.146310,-1.457720,ndi
1786503061.153429,1.382632,-0.005380,-0.146330,-1.457710,ndi
1786503061.168409,1.397613,-0.005380,-0.146330,-1.457720,ndi
1786503061.185772,1.414976,-0.005380,-0.146320,-1.457740,ndi
1786503061.203332,1.432536,-0.005380,-0.146310,-1.457740,ndi
1786503061.220774,1.449978,-0.005360,-0.146330,-1.457730,ndi
1786503061.235852,1.465056,-0.005380,-0.146330,-1.457710,ndi
1786503061.253325,1.482529,-0.005380,-0.146320,-1.457710,ndi
1786503061.268415,1.497619,-0.005370,-0.146320,-1.457720,ndi
1786503061.285759,1.514963,-0.005380,-0.146320,-1.457710,ndi
1786503061.303263,1.532467,-0.005380,-0.146340,-1.457730,ndi
1786503061.318466,1.547670,-0.005370,-0.146320,-1.457720,ndi
1786503061.335911,1.565115,-0.005380,-0.146320,-1.457720,ndi
1786503061.353405,1.582609,-0.005370,-0.146330,-1.457720,ndi
1786503061.368461,1.597665,-0.005370,-0.146330,-1.457710,ndi
1786503061.385762,1.614966,-0.005370,-0.146320,-1.457710,ndi
1786503061.403325,1.632529,-0.005370,-0.146320,-1.457710,ndi
1786503061.420875,1.650079,-0.005380,-0.146330,-1.457710,ndi
1786503061.435849,1.665053,-0.005380,-0.146340,-1.457700,ndi
1786503061.453360,1.682564,-0.005380,-0.146320,-1.457690,ndi
1786503061.468382,1.697586,-0.005380,-0.146310,-1.457710,ndi
1786503061.485771,1.714975,-0.005380,-0.146330,-1.457720,ndi
1786503061.503313,1.732517,-0.005380,-0.146330,-1.457700,ndi
1786503061.518397,1.747601,-0.005370,-0.146330,-1.457730,ndi
1786503061.535943,1.765147,-0.005380,-0.146320,-1.457700,ndi
1786503061.553381,1.782585,-0.005380,-0.146330,-1.457690,ndi
1786503061.568350,1.797554,-0.005370,-0.146340,-1.457720,ndi
1786503061.585710,1.814914,-0.005380,-0.146320,-1.457720,ndi
1786503061.603203,1.832407,-0.005380,-0.146320,-1.457710,ndi
1786503061.620794,1.849998,-0.005370,-0.146330,-1.457720,ndi
1786503061.635974,1.865178,-0.005380,-0.146330,-1.457720,ndi
1786503061.653420,1.882624,-0.005380,-0.146320,-1.457710,ndi
1786503061.668382,1.897586,-0.005370,-0.146320,-1.457710,ndi
