stamp,elapsed,x,y,z,frame_id
1786505834.520798,0.000000,-0.008620,-0.044030,-1.558520,ndi
1786505834.535742,0.014944,-0.008620,-0.044020,-1.558490,ndi
1786505834.553241,0.032444,-0.008610,-0.044000,-1.558510,ndi
1786505834.568263,0.047465,-0.008630,-0.044010,-1.558520,ndi
1786505834.586089,0.065291,-0.008600,-0.044020,-1.558510,ndi
1786505834.603343,0.082546,-0.008620,-0.044010,-1.558530,ndi
1786505834.618380,0.097582,-0.008620,-0.044010,-1.558510,ndi
1786505834.635803,0.115005,-0.008590,-0.044020,-1.558510,ndi
1786505834.653295,0.132498,-0.008620,-0.044020,-1.558500,ndi
1786505834.668283,0.147485,-0.008600,-0.044010,-1.558500,ndi
1786505834.685752,0.164954,-0.008620,-0.044010,-1.558520,ndi
1786505834.703446,0.182649,-0.008610,-0.044020,-1.558500,ndi
1786505834.718444,0.197646,-0.008610,-0.044030,-1.558500,ndi
1786505834.735894,0.215096,-0.008620,-0.044010,-1.558530,ndi
1786505834.753365,0.232567,-0.008610,-0.044010,-1.558520,ndi
1786505834.768315,0.247517,-0.008630,-0.044020,-1.558510,ndi
1786505834.785725,0.264928,-0.008600,-0.044020,-1.558510,ndi
1786505834.803282,0.282485,-0.008610,-0.044010,-1.558510,ndi
1786505834.818418,0.297620,-0.008610,-0.044020,-1.558510,ndi
1786505834.835827,0.315029,-0.008600,-0.044020,-1.558510,ndi
1786505834.853279,0.332481,-0.008610,-0.044010,-1.558490,ndi
1786505834.868223,0.347425,-0.008600,-0.044010,-1.558530,ndi
1786505834.885757,0.364959,-0.008620,-0.044010,-1.558530,ndi
1786505834.903234,0.382436,-0.008620,-0.044020,-1.558520,ndi
1786505834.920776,0.399978,-0.008620,-0.044010,-1.558540,ndi
1786505834.935876,0.415078,-0.008610,-0.044010,-1.558540,ndi
1786505834.953312,0.432514,-0.008610,-0.044030,-1.558520,ndi
1786505834.970762,0.449965,-0.008620,-0.044010,-1.558540,ndi
1786505834.985734,0.464937,-0.008610,-0.044000,-1.558540,ndi
1786505835.003310,0.482512,-0.008610,-0.044010,-1.558540,ndi
1786505835.018506,0.497709,-0.008620,-0.044030,-1.558560,ndi
1786505835.035824,0.515026,-0.008600,-0.044020,-1.558510,ndi
1786505835.053317,0.532519,-0.008600,-0.044000,-1.558520,ndi
1786505835.068332,0.547534,-0.008600,-0.044010,-1.558520,ndi
1786505835.085745,0.564948,-0.008610,-0.044030,-1.558520,ndi
1786505835.103317,0.582519,-0.008610,-0.044010,-1.558510,ndi
1786505835.118342,0.597544,-0.008610,-0.044000,-1.558520,ndi
1786505835.135800,0.615002,-0.008620,-0.044010,-1.558530,ndi
1786505835.153418,0.632621,-0.008610,-0.044030,-1.558530,ndi
1786505835.168334,0.647537,-0.008600,-0.044020,-1.558530,ndi
1786505835.185745,0.664947,-0.008610,-0.044010,-1.558540,ndi
1786505835.203264,0.682467,-0.008610,-0.044010,-1.558540,ndi
1786505835.220807,0.700009,-0.008600,-0.044030,-1.558560,ndi
1786505835.235962,0.715164,-0.008600,-0.044020,-1.558530,ndi
1786505835.253358,0.732561,-0.008600,-0.044000,-1.558520,ndi
1786505835.268261,0.747463,-0.008610,-0.044010,-1.558520,ndi
1786505835.285799,0.765001,-0.008610,-0.044020,-1.558520,ndi
1786505835.303357,0.782559,-0.008610,-0.044010,-1.558510,ndi
1786505835.318274,0.797476,-0.008620,-0.044000,-1.558530,ndi
1786505835.335791,0.814993,-0.008610,-0.044010,-1.558530,ndi
1786505835.353292,0.832494,-0.008610,-0.044030,-1.558540,ndi
1786505835.368244,0.847446,-0.008620,-0.044020,-1.558530,ndi
1786505835.385760,0.864962,-0.008610,-0.044000,-1.558540,ndi
1786505835.403283,0.882485,-0.008610,-0.044010,-1.558540,ndi
1786505835.418278,0.897480,-0.008590,-0.044030,-1.558540,ndi
1786505835.435943,0.915145,-0.008600,-0.044020,-1.558520,ndi
1786505835.453388,0.932591,-0.008600,-0.044000,-1.558520,ndi
1786505835.470755,0.949957,-0.008610,-0.044020,-1.558540,ndi
1786505835.485766,0.964968,-0.008600,-0.044020,-1.558540,ndi
1786505835.503444,0.982646,-0.008600,-0.044010,-1.558540,ndi
1786505835.518548,0.997751,-0.008630,-0.044000,-1.558530,ndi
1786505835.535965,1.015167,-0.008610,-0.044020,-1.558540,ndi
1786505835.553398,1.032600,-0.008610,-0.044020,-1.558510,ndi
1786505835.568258,1.047460,-0.008610,-0.044010,-1.558520,ndi
1786505835.585759,1.064961,-0.008600,-0.044010,-1.558530,ndi
1786505835.603504,1.082706,-0.008620,-0.044020,-1.558530,ndi
1786505835.618566,1.097768,-0.008600,-0.044020,-1.558530,ndi
1786505835.635785,1.114987,-0.008600,-0.044010,-1.558540,ndi
1786505835.653241,1.132444,-0.008610,-0.044010,-1.558500,ndi
1786505835.668328,1.147530,-0.008610,-0.044020,-1.558510,ndi
1786505835.685772,1.164974,-0.008610,-0.044020,-1.558510,ndi
1786505835.703394,1.182596,-0.008610,-0.044010,-1.558520,ndi
1786505835.718569,1.197771,-0.008620,-0.044000,-1.558540,ndi
1786505835.735954,1.215157,-0.008610,-0.044020,-1.558530,ndi
1786505835.753435,1.232638,-0.008610,-0.044020,-1.558540,ndi
1786505835.768303,1.247506,-0.008620,-0.044010,-1.558540,ndi
1786505835.785748,1.264950,-0.008610,-0.044010,-1.558530,ndi
1786505835.803493,1.282696,-0.008590,-0.044020,-1.558540,ndi
1786505835.818624,1.297826,-0.008610,-0.044020,-1.558520,ndi
1786505835.835777,1.314979,-0.008600,-0.044000,-1.558510,ndi
1786505835.853288,1.332490,-0.008600,-0.044010,-1.558540,ndi
1786505835.870821,1.350024,-0.008610,-0.044020,-1.558510,ndi
1786505835.885781,1.364983,-0.008600,-0.044020,-1.558510,ndi
1786505835.903307,1.382509,-0.008610,-0.044010,-1.558520,ndi
1786505835.918299,1.397501,-0.008620,-0.044010,-1.558530,ndi
1786505835.935782,1.414984,-0.008610,-0.044010,-1.558510,ndi
1786505835.953269,1.432471,-0.008610,-0.044020,-1.558540,ndi
1786505835.968323,1.447526,-0.008620,-0.044010,-1.558530,ndi
1786505835.985775,1.464977,-0.008600,-0.044010,-1.558500,ndi
1786505836.003378,1.482580,-0.008590,-0.044020,-1.558530,ndi
1786505836.018396,1.497598,-0.008610,-0.044030,-1.558510,ndi
1786505836.035881,1.515083,-0.008590,-0.044010,-1.558510,ndi
1786505836.053289,1.532492,-0.008610,-0.044000,-1.558510,ndi
1786505836.070793,1.549995,-0.008620,-0.044020,-1.558520,ndi
1786505836.085720,1.564923,-0.008610,-0.044020,-1.558510,ndi
1786505836.103292,1.582494,-0.008610,-0.044010,-1.558510,ndi
1786505836.118503,1.597706,-0.008610,-0.044010,-1.558530,ndi
1786505836.135783,1.614985,-0.008610,-0.044020,-1.558530,ndi
1786505836.153264,1.632466,-0.008620,-0.044030,-1.558540,ndi
1786505836.168332,1.647534,-0.008610,-0.044010,-1.558520,ndi
1786505836.185764,1.664967,-0.008610,-0.044000,-1.558540,ndi
1786505836.203442,1.682644,-0.008610,-0.044020,-1.558510,ndi
1786505836.218483,1.697685,-0.008600,-0.044030,-1.558530,ndi
1786505836.235841,1.715043,-0.008600,-0.044010,-1.558520,ndi
1786505836.253406,1.732608,-0.008610,-0.044010,-1.558540,ndi
1786505836.268291,1.747494,-0.008610,-0.044020,-1.558520,ndi
1786505836.285780,1.764982,-0.008610,-0.044020,-1.558520,ndi
1786505836.303444,1.782646,-0.008620,-0.044000,-1.558520,ndi
1786505836.318480,1.797682,-0.008610,-0.044010,-1.558530,ndi
1786505836.335787,1.814990,-0.008610,-0.044030,-1.558520,ndi
1786505836.353283,1.832485,-0.008610,-0.044020,-1.558510,ndi
1786505836.368297,1.847499,-0.008610,-0.044000,-1.558510,ndi
1786505836.385778,1.864980,-0.008620,-0.044010,-1.558520,ndi
1786505836.403408,1.882610,-0.008610,-0.044030,-1.558520,ndi
1786505836.420891,1.900093,-0.008600,-0.044020,-1.558530,ndi
1786505836.435901,1.915103,-0.008610,-0.044000,-1.558510,ndi
1786505836.453366,1.932568,-0.008610,-0.044020,-1.558540,ndi
1786505836.468257,1.947459,-0.008600,-0.044020,-1.558500,ndi
1786505836.485767,1.964969,-0.008620,-0.044010,-1.558530,ndi
1786505836.503438,1.982640,-0.008620,-0.044000,-1.558490,ndi
1786505836.520893,2.000095,-0.008610,-0.044020,-1.558530,ndi
1786505836.535923,2.015125,-0.008620,-0.044020,-1.558510,ndi
1786505836.553441,2.032644,-0.008620,-0.044010,-1.558510,ndi
1786505836.570838,2.050040,-0.008600,-0.044000,-1.558490,ndi
1786505836.585778,2.064980,-0.008610,-0.044020,-1.558540,ndi
1786505836.603393,2.082595,-0.008610,-0.044020,-1.558510,ndi
1786505836.620936,2.100138,-0.008600,-0.044010,-1.558510,ndi
1786505836.635907,2.115109,-0.008610,-0.044010,-1.558510,ndi
1786505836.653329,2.132532,-0.008600,-0.044020,-1.558510,ndi
1786505836.668346,2.147549,-0.008610,-0.044020,-1.558480,ndi
1786505836.685774,2.164976,-0.008620,-0.044000,-1.558500,ndi
1786505836.703421,2.182623,-0.008610,-0.044010,-1.558510,ndi
1786505836.718469,2.197671,-0.008610,-0.044030,-1.558500,ndi
1786505836.735905,2.215107,-0.008610,-0.044020,-1.558520,ndi
1786505836.753365,2.232567,-0.008610,-0.044000,-1.558520,ndi
1786505836.768341,2.247543,-0.008610,-0.044010,-1.558530,ndi
1786505836.785761,2.264963,-0.008610,-0.044030,-1.558550,ndi
1786505836.803283,2.282486,-0.008600,-0.044000,-1.558540,ndi
1786505836.818374,2.297576,-0.008600,-0.044000,-1.558550,ndi
1786505836.835839,2.315042,-0.008610,-0.044020,-1.558550,ndi
1786505836.853312,2.332514,-0.008600,-0.044020,-1.558550,ndi
1786505836.868260,2.347462,-0.008610,-0.044000,-1.558510,ndi
1786505836.885770,2.364972,-0.008610,-0.044000,-1.558530,ndi
1786505836.903348,2.382550,-0.008610,-0.044030,-1.558530,ndi
1786505836.918567,2.397769,-0.008620,-0.044030,-1.558530,ndi
1786505836.935976,2.415178,-0.008610,-0.043990,-1.558550,ndi
1786505836.953414,2.432616,-0.008610,-0.044000,-1.558520,ndi
1786505836.968271,2.447473,-0.008610,-0.044030,-1.558550,ndi
1786505836.985762,2.464965,-0.008600,-0.044030,-1.558510,ndi
1786505837.003392,2.482594,-0.008600,-0.043990,-1.558520,ndi
1786505837.020869,2.500071,-0.008600,-0.044000,-1.558520,ndi
1786505837.035877,2.515079,-0.008610,-0.044040,-1.558520,ndi
1786505837.053339,2.532542,-0.008620,-0.044020,-1.558500,ndi
1786505837.068318,2.547520,-0.008610,-0.043990,-1.558520,ndi
1786505837.085768,2.564970,-0.008620,-0.044000,-1.558500,ndi
1786505837.103431,2.582634,-0.008620,-0.044030,-1.558510,ndi
1786505837.118484,2.597686,-0.008600,-0.044020,-1.558530,ndi
1786505837.135914,2.615116,-0.008610,-0.043980,-1.558520,ndi
1786505837.153321,2.632523,-0.008610,-0.044010,-1.558520,ndi
1786505837.170835,2.650037,-0.008600,-0.044050,-1.558530,ndi
1786505837.185782,2.664984,-0.008610,-0.044020,-1.558550,ndi
1786505837.203385,2.682587,-0.008600,-0.043980,-1.558520,ndi
1786505837.218633,2.697835,-0.008610,-0.044010,-1.558530,ndi
1786505837.236012,2.715214,-0.008610,-0.044040,-1.558530,ndi
1786505837.253416,2.732618,-0.008620,-0.044000,-1.558520,ndi
1786505837.270787,2.749989,-0.008610,-0.043980,-1.558530,ndi
1786505837.285798,2.765000,-0.008620,-0.044020,-1.558520,ndi
1786505837.303345,2.782547,-0.008610,-0.044030,-1.558520,ndi
1786505837.318326,2.797528,-0.008600,-0.044010,-1.558510,ndi
1786505837.335975,2.815177,-0.008620,-0.043990,-1.558520,ndi
1786505837.353333,2.832535,-0.008610,-0.044020,-1.558520,ndi
1786505837.370808,2.850010,-0.008610,-0.044030,-1.558520,ndi
1786505837.385783,2.864985,-0.008610,-0.044000,-1.558490,ndi
1786505837.403369,2.882571,-0.008600,-0.043990,-1.558520,ndi
1786505837.418553,2.897755,-0.008620,-0.044020,-1.558510,ndi
1786505837.435919,2.915121,-0.008610,-0.044030,-1.558530,ndi
1786505837.453416,2.932619,-0.008610,-0.044000,-1.558500,ndi
1786505837.468283,2.947485,-0.008620,-0.044000,-1.558510,ndi
1786505837.485827,2.965029,-0.008620,-0.044020,-1.558540,ndi
1786505837.503541,2.982743,-0.008600,-0.044020,-1.558510,ndi
1786505837.518554,2.997756,-0.008610,-0.044000,-1.558540,ndi
1786505837.535960,3.015162,-0.008620,-0.044010,-1.558530,ndi
1786505837.553418,3.032620,-0.008610,-0.044030,-1.558540,ndi
1786505837.568376,3.047578,-0.008610,-0.044020,-1.558510,ndi
1786505837.585797,3.064999,-0.008600,-0.044010,-1.558520,ndi
1786505837.603345,3.082547,-0.008600,-0.044010,-1.558510,ndi
1786505837.618371,3.097574,-0.008610,-0.044020,-1.558530,ndi
1786505837.635843,3.115045,-0.008600,-0.044020,-1.558530,ndi
1786505837.653322,3.132524,-0.008620,-0.044010,-1.558530,ndi
1786505837.668297,3.147499,-0.008610,-0.044010,-1.558520,ndi
1786505837.685793,3.164995,-0.008620,-0.044030,-1.558520,ndi
1786505837.703348,3.182550,-0.008610,-0.044010,-1.558530,ndi
1786505837.718340,3.197543,-0.008610,-0.044000,-1.558510,ndi
1786505837.735989,3.215192,-0.008610,-0.044010,-1.558530,ndi
1786505837.753425,3.232627,-0.008590,-0.044030,-1.558520,ndi
1786505837.768301,3.247504,-0.008610,-0.044010,-1.558520,ndi
1786505837.785780,3.264983,-0.008600,-0.044000,-1.558490,ndi
1786505837.803523,3.282725,-0.008600,-0.044020,-1.558530,ndi
1786505837.818575,3.297777,-0.008610,-0.044020,-1.558520,ndi
1786505837.836011,3.315213,-0.008610,-0.044000,-1.558520,ndi
1786505837.853393,3.332595,-0.008620,-0.044010,-1.558490,ndi
1786505837.868299,3.347502,-0.008610,-0.044020,-1.558530,ndi
1786505837.885798,3.365000,-0.008620,-0.044020,-1.558530,ndi
1786505837.903355,3.382558,-0.008610,-0.044010,-1.558530,ndi
1786505837.918351,3.397553,-0.008610,-0.044010,-1.558500,ndi
1786505837.935883,3.415085,-0.008610,-0.044020,-1.558510,ndi
1786505837.953404,3.432606,-0.008600,-0.044020,-1.558550,ndi
1786505837.968329,3.447532,-0.008610,-0.044010,-1.558530,ndi
1786505837.985780,3.464982,-0.008600,-0.044020,-1.558540,ndi
1786505838.003536,3.482738,-0.008620,-0.044020,-1.558520,ndi
1786505838.018685,3.497887,-0.008610,-0.044010,-1.558520,ndi
1786505838.036045,3.515247,-0.008610,-0.044010,-1.558530,ndi
1786505838.053381,3.532583,-0.008620,-0.044020,-1.558530,ndi
1786505838.068313,3.547515,-0.008610,-0.044020,-1.558520,ndi
1786505838.085792,3.564994,-0.008610,-0.044010,-1.558510,ndi
1786505838.103336,3.582538,-0.008610,-0.044010,-1.558520,ndi
1786505838.118369,3.597571,-0.008610,-0.044020,-1.558530,ndi
1786505838.135863,3.615066,-0.008620,-0.044020,-1.558540,ndi
1786505838.153368,3.632571,-0.008600,-0.044010,-1.558520,ndi
1786505838.168311,3.647514,-0.008620,-0.044010,-1.558530,ndi
1786505838.185789,3.664991,-0.008610,-0.044020,-1.558550,ndi
1786505838.203465,3.682668,-0.008610,-0.044020,-1.558540,ndi
1786505838.218652,3.697855,-0.008610,-0.044010,-1.558520,ndi
1786505838.235967,3.715169,-0.008620,-0.044010,-1.558530,ndi
1786505838.253453,3.732655,-0.008610,-0.044020,-1.558520,ndi
1786505838.268312,3.747514,-0.008610,-0.044010,-1.558540,ndi
1786505838.285802,3.765004,-0.008620,-0.044010,-1.558520,ndi
1786505838.303357,3.782560,-0.008610,-0.044020,-1.558520,ndi
1786505838.318337,3.797539,-0.008620,-0.044010,-1.558520,ndi
1786505838.335934,3.815136,-0.008630,-0.044010,-1.558540,ndi
1786505838.353446,3.832648,-0.008600,-0.044020,-1.558540,ndi
1786505838.368297,3.847499,-0.008610,-0.044020,-1.558520,ndi
1786505838.385800,3.865002,-0.008610,-0.044010,-1.558520,ndi
1786505838.403498,3.882700,-0.008610,-0.044000,-1.558530,ndi
1786505838.420984,3.900186,-0.008620,-0.044010,-1.558520,ndi
1786505838.435936,3.915138,-0.008620,-0.044010,-1.558510,ndi
1786505838.453405,3.932607,-0.008600,-0.044010,-1.558510,ndi
1786505838.468298,3.947500,-0.008620,-0.044010,-1.558500,ndi
1786505838.485771,3.964973,-0.008610,-0.044010,-1.558500,ndi
1786505838.503469,3.982671,-0.008600,-0.044010,-1.558500,ndi
1786505838.518521,3.997723,-0.008620,-0.044000,-1.558510,ndi
1786505838.535964,4.015166,-0.008600,-0.044010,-1.558530,ndi
1786505838.553470,4.032673,-0.008600,-0.044020,-1.558520,ndi
1786505838.568368,4.047570,-0.008610,-0.044000,-1.558510,ndi
1786505838.585773,4.064976,-0.008610,-0.044000,-1.558470,ndi
1786505838.603443,4.082645,-0.008610,-0.044020,-1.558510,ndi
1786505838.618398,4.097601,-0.008610,-0.044020,-1.558500,ndi
1786505838.635853,4.115055,-0.008620,-0.044010,-1.558500,ndi
1786505838.653494,4.132696,-0.008610,-0.044010,-1.558520,ndi
1786505838.668319,4.147521,-0.008610,-0.044020,-1.558530,ndi
1786505838.685789,4.164991,-0.008610,-0.044010,-1.558530,ndi
1786505838.703386,4.182588,-0.008610,-0.044010,-1.558520,ndi
1786505838.718479,4.197681,-0.008620,-0.044010,-1.558560,ndi
1786505838.735911,4.215113,-0.008600,-0.044020,-1.558520,ndi
1786505838.753430,4.232632,-0.008610,-0.044020,-1.558530,ndi
1786505838.768331,4.247534,-0.008600,-0.044010,-1.558550,ndi
1786505838.785776,4.264978,-0.008600,-0.044010,-1.558540,ndi
1786505838.803368,4.282570,-0.008610,-0.044020,-1.558520,ndi
1786505838.818488,4.297690,-0.008610,-0.044010,-1.558530,ndi
1786505838.835906,4.315108,-0.008610,-0.044010,-1.558520,ndi
1786505838.853438,4.332640,-0.008630,-0.044010,-1.558520,ndi
1786505838.868314,4.347516,-0.008600,-0.044020,-1.558510,ndi
1786505838.885772,4.364974,-0.008610,-0.044020,-1.558540,ndi
1786505838.903414,4.382617,-0.008610,-0.044010,-1.558520,ndi
1786505838.920965,4.400167,-0.008610,-0.044020,-1.558530,ndi
1786505838.935905,4.415108,-0.008610,-0.044010,-1.558530,ndi
1786505838.953335,4.432537,-0.008610,-0.044010,-1.558520,ndi
1786505838.968314,4.447517,-0.008600,-0.044000,-1.558500,ndi
1786505838.985797,4.464999,-0.008610,-0.044020,-1.558520,ndi
1786505839.003365,4.482567,-0.008620,-0.044020,-1.558530,ndi
1786505839.020929,4.500131,-0.008610,-0.044000,-1.558500,ndi
1786505839.035991,4.515193,-0.008630,-0.044010,-1.558510,ndi
1786505839.053458,4.532660,-0.008620,-0.044020,-1.558520,ndi
