stamp,elapsed,x,y,z,frame_id
1786505390.885174,0.000000,-0.007780,-0.043940,-1.558670,ndi
1786505390.902766,0.017592,-0.007770,-0.043960,-1.558650,ndi
1786505390.920355,0.035181,-0.007780,-0.043960,-1.558630,ndi
1786505390.935180,0.050006,-0.007780,-0.043940,-1.558660,ndi
1786505390.952785,0.067611,-0.007770,-0.043940,-1.558650,ndi
1786505390.970185,0.085011,-0.007780,-0.043960,-1.558660,ndi
1786505390.985157,0.099983,-0.007770,-0.043960,-1.558670,ndi
1786505391.002664,0.117490,-0.007750,-0.043940,-1.558660,ndi
1786505391.020180,0.135006,-0.007760,-0.043940,-1.558650,ndi
1786505391.035270,0.150096,-0.007780,-0.043960,-1.558650,ndi
1786505391.052762,0.167587,-0.007770,-0.043950,-1.558650,ndi
1786505391.070198,0.185024,-0.007770,-0.043940,-1.558640,ndi
1786505391.085157,0.199983,-0.007780,-0.043950,-1.558630,ndi
1786505391.102685,0.217511,-0.007770,-0.043960,-1.558660,ndi
1786505391.120318,0.235144,-0.007770,-0.043950,-1.558630,ndi
1786505391.135360,0.250185,-0.007780,-0.043950,-1.558640,ndi
1786505391.152817,0.267642,-0.007760,-0.043950,-1.558650,ndi
1786505391.170160,0.284986,-0.007780,-0.043950,-1.558670,ndi
1786505391.185141,0.299967,-0.007770,-0.043950,-1.558640,ndi
1786505391.202622,0.317447,-0.007760,-0.043960,-1.558650,ndi
1786505391.220343,0.335169,-0.007770,-0.043960,-1.558640,ndi
1786505391.235390,0.350215,-0.007770,-0.043950,-1.558640,ndi
1786505391.252839,0.367665,-0.007770,-0.043940,-1.558630,ndi
1786505391.270154,0.384980,-0.007770,-0.043960,-1.558640,ndi
1786505391.285154,0.399980,-0.007780,-0.043970,-1.558650,ndi
1786505391.302651,0.417477,-0.007770,-0.043950,-1.558620,ndi
1786505391.320290,0.435115,-0.007770,-0.043940,-1.558640,ndi
1786505391.335287,0.450113,-0.007770,-0.043960,-1.558640,ndi
1786505391.352783,0.467609,-0.007770,-0.043960,-1.558630,ndi
1786505391.370190,0.485016,-0.007780,-0.043940,-1.558630,ndi
1786505391.385219,0.500045,-0.007770,-0.043950,-1.558650,ndi
1786505391.402675,0.517501,-0.007770,-0.043970,-1.558670,ndi
1786505391.420163,0.534989,-0.007770,-0.043960,-1.558640,ndi
1786505391.435179,0.550004,-0.007770,-0.043940,-1.558630,ndi
1786505391.452780,0.567606,-0.007780,-0.043940,-1.558630,ndi
1786505391.470178,0.585004,-0.007770,-0.043970,-1.558620,ndi
1786505391.485168,0.599994,-0.007780,-0.043960,-1.558630,ndi
1786505391.502674,0.617500,-0.007770,-0.043940,-1.558630,ndi
1786505391.520288,0.635114,-0.007780,-0.043950,-1.558640,ndi
1786505391.535306,0.650132,-0.007770,-0.043960,-1.558640,ndi
1786505391.552758,0.667584,-0.007770,-0.043960,-1.558620,ndi
1786505391.570188,0.685013,-0.007780,-0.043950,-1.558630,ndi
1786505391.585145,0.699970,-0.007760,-0.043960,-1.558650,ndi
1786505391.602666,0.717492,-0.007770,-0.043960,-1.558620,ndi
1786505391.620165,0.734991,-0.007770,-0.043940,-1.558650,ndi
1786505391.635231,0.750057,-0.007770,-0.043940,-1.558650,ndi
1786505391.652846,0.767672,-0.007780,-0.043960,-1.558640,ndi
1786505391.670186,0.785011,-0.007770,-0.043960,-1.558650,ndi
1786505391.685200,0.800026,-0.007780,-0.043940,-1.558640,ndi
1786505391.702698,0.817524,-0.007780,-0.043940,-1.558640,ndi
1786505391.720371,0.835197,-0.007780,-0.043960,-1.558640,ndi
1786505391.735220,0.850046,-0.007770,-0.043960,-1.558640,ndi
1786505391.752784,0.867609,-0.007770,-0.043940,-1.558660,ndi
1786505391.770207,0.885032,-0.007780,-0.043950,-1.558650,ndi
1786505391.785130,0.899955,-0.007760,-0.043970,-1.558660,ndi
1786505391.802660,0.917485,-0.007770,-0.043960,-1.558660,ndi
1786505391.820228,0.935053,-0.007770,-0.043940,-1.558640,ndi
1786505391.835207,0.950033,-0.007780,-0.043950,-1.558640,ndi
1786505391.852709,0.967534,-0.007780,-0.043970,-1.558640,ndi
1786505391.870209,0.985035,-0.007780,-0.043950,-1.558630,ndi
1786505391.885184,1.000010,-0.007780,-0.043930,-1.558610,ndi
1786505391.902706,1.017532,-0.007770,-0.043950,-1.558640,ndi
1786505391.920170,1.034996,-0.007780,-0.043970,-1.558660,ndi
1786505391.935199,1.050025,-0.007780,-0.043950,-1.558650,ndi
1786505391.952801,1.067627,-0.007770,-0.043930,-1.558660,ndi
1786505391.970190,1.085015,-0.007780,-0.043960,-1.558660,ndi
1786505391.985147,1.099972,-0.007770,-0.043970,-1.558640,ndi
1786505392.002768,1.117593,-0.007770,-0.043940,-1.558640,ndi
1786505392.020337,1.135163,-0.007780,-0.043930,-1.558660,ndi
1786505392.035406,1.150232,-0.007780,-0.043960,-1.558640,ndi
1786505392.052744,1.167570,-0.007770,-0.043970,-1.558630,ndi
1786505392.070180,1.185006,-0.007780,-0.043940,-1.558630,ndi
1786505392.085201,1.200027,-0.007780,-0.043930,-1.558630,ndi
1786505392.102788,1.217614,-0.007770,-0.043960,-1.558640,ndi
1786505392.120204,1.235030,-0.007780,-0.043970,-1.558670,ndi
1786505392.135204,1.250029,-0.007770,-0.043940,-1.558660,ndi
1786505392.152696,1.267522,-0.007770,-0.043940,-1.558640,ndi
1786505392.170215,1.285041,-0.007760,-0.043970,-1.558670,ndi
1786505392.185172,1.299997,-0.007770,-0.043960,-1.558660,ndi
1786505392.202716,1.317542,-0.007770,-0.043930,-1.558640,ndi
1786505392.220248,1.335074,-0.007780,-0.043950,-1.558640,ndi
1786505392.235323,1.350149,-0.007770,-0.043970,-1.558630,ndi
1786505392.252719,1.367544,-0.007770,-0.043960,-1.558670,ndi
1786505392.270210,1.385036,-0.007780,-0.043930,-1.558670,ndi
1786505392.285211,1.400037,-0.007770,-0.043940,-1.558660,ndi
1786505392.302793,1.417618,-0.007770,-0.043970,-1.558650,ndi
1786505392.320225,1.435051,-0.007780,-0.043950,-1.558660,ndi
1786505392.335208,1.450033,-0.007780,-0.043940,-1.558670,ndi
1786505392.352736,1.467561,-0.007770,-0.043950,-1.558670,ndi
1786505392.370225,1.485051,-0.007760,-0.043960,-1.558650,ndi
1786505392.385217,1.500043,-0.007770,-0.043960,-1.558660,ndi
1786505392.402778,1.517604,-0.007770,-0.043940,-1.558660,ndi
1786505392.420243,1.535069,-0.007780,-0.043950,-1.558680,ndi
1786505392.435256,1.550081,-0.007770,-0.043960,-1.558640,ndi
1786505392.452730,1.567556,-0.007770,-0.043960,-1.558660,ndi
1786505392.470235,1.585061,-0.007780,-0.043940,-1.558650,ndi
1786505392.485210,1.600035,-0.007780,-0.043950,-1.558630,ndi
1786505392.502766,1.617592,-0.007770,-0.043960,-1.558660,ndi
1786505392.520389,1.635215,-0.007780,-0.043950,-1.558640,ndi
1786505392.535414,1.650240,-0.007780,-0.043940,-1.558670,ndi
1786505392.552738,1.667564,-0.007780,-0.043960,-1.558650,ndi
